Reference_ID,open_now,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday
2b000b346d302ffb903f323fbc402fa674dc89e8,1,"Monday: 8:00 AM – 3:30 AM","Tuesday: 8:00 AM – 3:30 AM","Wednesday: 8:00 AM – 4:00 AM","Thursday: 8:00 AM – 4:00 AM","Friday: 8:00 AM – 5:00 AM","Saturday: 8:00 AM – 5:00 AM","Sunday: 10:00 AM – 12:00 AM"
bc6f199ea2160596751ff95c8cd16c1b37617d21,1,"Monday: 10:00 AM – 10:30 PM","Tuesday: 10:00 AM – 10:30 PM","Wednesday: 10:00 AM – 10:30 PM","Thursday: 10:00 AM – 1:00 AM","Friday: 10:00 AM – 3:00 AM","Saturday: 10:00 AM – 3:00 AM","Sunday: 10:00 AM – 10:30 PM"
7e019151a7fe875f94d983c9f8ed6116f089b911,1,"Monday: 9:30 AM – 12:00 AM","Tuesday: 9:30 AM – 12:00 AM","Wednesday: 9:30 AM – 12:00 AM","Thursday: 9:30 AM – 1:00 AM","Friday: 9:30 AM – 1:00 AM","Saturday: 9:30 AM – 1:00 AM","Sunday: 11:00 AM – 12:00 AM"
fb2d0049d2bd51e16896124db70981312691d579,1,"Monday: 10:00 AM – 11:00 PM","Tuesday: 10:00 AM – 11:00 PM","Wednesday: 10:00 AM – 11:00 PM","Thursday: 10:00 AM – 11:00 PM","Friday: 10:00 AM – 11:00 PM","Saturday: 10:00 AM – 11:00 PM","Sunday: 11:00 AM – 11:00 PM"
15444f7206d5d481123bcec890a1eb87231336ba,1,"Monday: 11:00 AM – 12:00 AM","Tuesday: 11:00 AM – 12:30 AM","Wednesday: 11:00 AM – 3:00 AM","Thursday: 11:00 AM – 6:00 AM","Friday: 10:00 AM – 6:00 AM","Saturday: 10:00 AM – 1:00 AM","Sunday: 10:00 AM – 12:00 AM"
2d611d1baf03d111cf4dda7d4ae52b1f829b4504,1,"Monday: 12:00 PM – 1:00 AM","Tuesday: 12:00 PM – 1:00 AM","Wednesday: 12:00 PM – 1:00 AM","Thursday: 12:00 PM – 1:00 AM","Friday: 12:00 PM – 2:00 AM","Saturday: 12:00 PM – 2:00 AM","Sunday: 4:00 PM – 1:00 AM"
ce28702d62069bb6fc776962519403f06a9e7a59,1,"Monday: 12:00 PM – 12:00 AM","Tuesday: 12:00 PM – 12:00 AM","Wednesday: 12:00 PM – 12:00 AM","Thursday: 12:00 PM – 12:00 AM","Friday: 12:00 PM – 12:00 AM","Saturday: 12:00 PM – 12:00 AM","Sunday: 3:00 PM – 12:00 AM"
79a41a648fba97075b51c00c56e8797c72c769f0,1,"Monday: 12:00 PM – 12:00 AM","Tuesday: 12:00 PM – 12:00 AM","Wednesday: 12:00 PM – 12:00 AM","Thursday: 12:00 PM – 12:00 AM","Friday: 12:00 PM – 12:00 AM","Saturday: 12:00 PM – 12:00 AM","Sunday: 4:15 PM – 12:00 AM"
3469661c9aa8895a66e73be01ec7ab56dcaa067e,1,"Monday: Closed","Tuesday: Closed","Wednesday: 5:00 – 10:00 PM","Thursday: 5:00 – 10:00 PM","Friday: 4:00 – 11:00 PM","Saturday: 12:00 – 11:00 PM","Sunday: 12:00 – 10:00 PM"
73b95138982e9b5bd26f9d897fb3d432b1514574,1,"Monday: 5:30 – 9:30 PM","Tuesday: 5:30 – 9:30 PM","Wednesday: 5:30 – 10:30 PM","Thursday: 5:30 – 10:30 PM","Friday: 5:30 – 11:00 PM","Saturday: 11:00 AM – 4:00 PM, 5:30 – 11:00 PM","Sunday: 11:00 AM – 4:00 PM, 5:30 – 9:30 PM"
7c2e5141b167849e084f604c8203ae48b1b1c593,1,"Monday: 11:00 AM – 10:00 PM","Tuesday: 11:00 AM – 10:00 PM","Wednesday: 11:00 AM – 10:00 PM","Thursday: 11:00 AM – 11:00 PM","Friday: 11:00 AM – 11:00 PM","Saturday: 11:00 AM – 11:00 PM","Sunday: 11:00 AM – 10:00 PM"
de6f0f30f49ed1780eaeccc9cd78456af6d1e491,1,"Monday: 11:30 AM – 12:00 AM","Tuesday: 11:30 AM – 12:00 AM","Wednesday: 11:30 AM – 12:00 AM","Thursday: 11:30 AM – 2:00 AM","Friday: 11:30 AM – 4:00 AM","Saturday: 11:30 AM – 4:00 AM","Sunday: 11:30 AM – 1:00 AM"
1b8d6a49507e9e1284fed018496d93f45f97a922,1,"Monday: 12:00 – 10:00 PM","Tuesday: 12:00 – 10:00 PM","Wednesday: 12:00 – 10:00 PM","Thursday: 12:00 – 11:30 PM","Friday: 12:00 PM – 1:00 AM","Saturday: 5:00 – 10:00 PM","Sunday: 5:00 – 10:00 PM"
d2359ca3d3f47d4c0f8c4cb884f9cb86cca06d3d,,,,,,,,
